"","test_f1_score","test_accuracy","test_recall","test_precision","test_roc","method","tss","cell"
"2",0.870265914585012,0.838959739934984,0.840466926070039,0.902255639097744,0.83835802566623,"With ML","tes","hESC"
"5",0,0.645156449313424,0,0,0,"Without ML","tes","hESC"
"6",0.838122468429831,0.814442562954061,0.827826414383884,0.848677861416715,0.811883014583925,"With ML","tes","HEK293T"
"10",0,0.580269842136887,0,0,0,"Without ML","tes","HEK293T"
"11",0.85435687224396,0.824856225259541,0.910269984118581,0.804915155061439,0.812241112409025,"With ML","tss","HEK293T"
"15",0,0.564343864366271,0,0,0,"Without ML","tss","HEK293T"
"16",0.794278618405924,0.743682310469314,0.922444183313749,0.697383298336295,0.729639891409656,"With ML","tss","oocyte"
"20",0,0.536416251217695,0,0,0,"Without ML","tss","oocyte"
"21",0.854443309499489,0.790143585967496,0.839438033115906,0.869994799791992,0.746862438130454,"With ML","tes","DRG"
"25",0,0.733761110818913,0,0,0,"Without ML","tes","DRG"
"29",0.882573978393612,0.864937871420854,0.898183556405354,0.867497691597415,0.859961343420068,"With ML","tss","hESC"
"30",0,0.564667747163695,0,0,0,"Without ML","tss","hESC"
"31",0.839791617888082,0.773183061241402,0.852465834818776,0.827488753028031,0.721482095941699,"With ML","tes","oocyte"
"35",0,0.697356426618049,0,0,0,"Without ML","tes","oocyte"
"36",0.914404729911314,0.877652933832709,0.912320686419091,0.916498316498316,0.851217892295531,"With ML","tss","DRG"
"40",0,0.716316143282435,0,0,0,"Without ML","tss","DRG"
"261",0.872133027522936,0.803956043956044,0.904280618311534,0.8421926910299,0.711836767840421,"With ML","tes","scISOr-seq"
"301",0,0.739010022859152,0,0,0,"Without ML","tes","scISOr-seq"
"331",0.789795324473761,0.72496509709354,0.80757786153541,0.772779043280182,0.692900981507663,"With ML","tss","scISOr-seq"
"351",0,0.636875975781577,0,0,0,"Without ML","tss","scISOr-seq"
"371",0.793227296049256,0.706053975200584,0.887485648679678,0.717068645640074,0.638742824339839,"With ML","tss","isoseq"
"401",0,0.637398730019707,0,0,0,"Without ML","tss","isoseq"
"41",0.83,0.753623188405797,0.878823529411765,0.786315789473684,0.680483193277311,"With ML","tes","isoseq"
"45",0,0.697342995169082,0,0,0,"Without ML","tes","isoseq"
