X,train_f1_score,test_f1_score,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc,test_roc,method,feature,type
0,0.862364939917197,0.847826086956522,0.842208844639963,0.826039978390059,0.87571780147662,0.85755258126195,0.849413168888005,0.838317757009346,0.837247523811144,0.821322874481907,knn,basic,tss
1,0.893750633039603,0.864174159962139,0.87855985181755,0.84494867639114,0.904840032813782,0.872848948374761,0.882929757854713,0.855670103092783,0.874668820234642,0.840772300274337,rf,basic,tss
2,0.873116975027803,0.865882352941177,0.854711738828433,0.846029173419773,0.885561936013125,0.879541108986616,0.861016949152542,0.852641334569045,0.850144072738089,0.841012790518152,lr,basic,tss
3,0.892313851080865,0.868012062166551,0.875434128270433,0.846299297676931,0.914273995077933,0.894359464627151,0.871383893666927,0.843172600270392,0.869683515348642,0.839105198152085,svm,basic,tss
4,0.751538636881696,0.734780307040762,0.747626765454966,0.729335494327391,0.67616899097621,0.663479923518164,0.845818368394048,0.823250296559905,0.758206770873538,0.739193377908151,knn,internal,tss
5,0.838584030244014,0.814085965820818,0.836883537855985,0.806050783360346,0.750615258408532,0.751434034416826,0.949909161692188,0.888135593220339,0.849656379868806,0.814226333978599,rf,internal,tss
6,0.815354921724212,0.821011673151751,0.80064829821718,0.801188546731497,0.779737489745693,0.806883365200765,0.85438202247191,0.835643564356436,0.803744342958971,0.800336092538271,lr,internal,tss
7,0.870245365905925,0.826054774241303,0.859805510534846,0.809562398703404,0.832854799015587,0.80019120458891,0.911150998429437,0.853646098929118,0.863795820560425,0.810965167511846,svm,internal,tss
8,0.868670566875126,0.861647058823529,0.849270664505673,0.841166936790924,0.883100902378999,0.875239005736138,0.854704247717348,0.848470806302132,0.844261774953455,0.836066707837013,knn,motif,tss
9,0.902263270070029,0.86801315171442,0.888515860152813,0.848190167477039,0.911607875307629,0.883365200764818,0.893108298171589,0.853185595567867,0.885096866946744,0.842924836407254,rf,motif,tss
10,0.865981438978146,0.861909175162187,0.844524195415605,0.839005942733657,0.889868744872847,0.889101338432122,0.843343051506317,0.836330935251799,0.837810502154658,0.831507190955192,lr,motif,tss
11,0.867886587572894,0.861156637789745,0.847881454040287,0.839816315505132,0.885151763740771,0.87906309751434,0.851282051282051,0.84396512161542,0.842363229026154,0.833941486645369,svm,motif,tss
12,0.850526754980703,0.843361753958587,0.834105116925214,0.826310102647218,0.836136177194422,0.827437858508604,0.865421354277224,0.859910581222057,0.833804399070363,0.826141289502749,knn,all,tss
13,0.918119173084718,0.882573978393612,0.906459828664043,0.864937871420854,0.929040196882691,0.898183556405354,0.907451923076923,0.867497691597415,0.903116589669416,0.859961343420068,rf,all,tss
14,0.881937436932392,0.877718026654197,0.864551979624913,0.858725013506213,0.89622641509434,0.897227533460803,0.868096940802543,0.859038901601831,0.859862277190976,0.852961592817358,lr,all,tss
15,0.896153846153846,0.877522290004693,0.881222505209539,0.858995137763371,0.90791632485644,0.893881453154876,0.884692246203038,0.861751152073733,0.87727023047713,0.853773024714084,svm,all,tss
Without ML,0,0,0,0.565099945975149,0,0,0,0,0,0,Without ML,Without ML,tss
0,0.831509027972682,0.813850904278783,0.80692538593482,0.788947236809202,0.737226277372263,0.717898832684825,0.953443467067153,0.939409368635438,0.835734350807343,0.817311907595037,knn,basic,tes
1,0.908228393996895,0.856507679870655,0.885934819897084,0.822455613903476,0.87342402123424,0.824513618677043,0.945921667265541,0.891084945332212,0.891105950011059,0.821633996182468,rf,basic,tes
2,0.867117117117117,0.855465587044534,0.835548885077187,0.82145536384096,0.83029197080292,0.822178988326848,0.907360406091371,0.891561181434599,0.837721742977217,0.821166471070352,lr,basic,tes
3,0.876480541455161,0.857620740121263,0.851307890222985,0.829707426856714,0.81635700066357,0.798054474708171,0.946164199192463,0.926796204247628,0.865754257907543,0.842344242252616,svm,basic,tes
4,0.825328732630794,0.808510638297873,0.799206689536878,0.781695423855964,0.734074319840743,0.717120622568093,0.942492012779553,0.926596279537456,0.826128069011281,0.807475636686426,knn,internal,tes
5,0.837131248895955,0.814602132895816,0.802315608919382,0.773943485871468,0.786164565361646,0.772762645914397,0.895164336985266,0.861231569817866,0.808991373589914,0.774414912880221,rf,internal,tes
6,0.85512058720727,0.834665027658267,0.822255574614065,0.798199549887472,0.81171201061712,0.792607003891051,0.903434268833087,0.881436607529208,0.826613581066136,0.800432263317114,lr,internal,tes
7,0.863108206245461,0.833017477363656,0.838336192109777,0.801700425106277,0.788652952886529,0.769649805447471,0.95308740978348,0.90775585130794,0.858871930988719,0.814496001394134,svm,internal,tes
8,0.852812740816851,0.839421918908069,0.815716123499142,0.799949987496874,0.826144658261447,0.813618677042802,0.881259953990444,0.866915422885572,0.811405662464057,0.794493033412933,knn,motif,tes
9,0.963960929605928,0.867872044506259,0.954116638078902,0.833708427106777,0.949568679495687,0.849805447470817,0.978796169630643,0.886723507917174,0.955996460959965,0.827282009949544,rf,motif,tes
10,0.847440446021287,0.838162822787305,0.80638936535163,0.794698674668667,0.832116788321168,0.827237354085603,0.863339070567986,0.84938074310827,0.795755363857554,0.781708250170863,lr,motif,tes
11,0.847153195570669,0.836859235150529,0.812071183533448,0.799449862465616,0.805905773059058,0.800389105058366,0.892850578937695,0.876811594202899,0.814619553196196,0.799074888428413,svm,motif,tes
12,0.836032011911409,0.82209124645274,0.811106346483705,0.796199049762441,0.745189117451891,0.732684824902724,0.9520983467571,0.936350074589756,0.838352134483521,0.821555848420571,knn,all,tes
13,0.941578992387306,0.870265914585012,0.926779588336192,0.838959739934984,0.913072329130723,0.840466926070039,0.971923009005827,0.902255639097744,0.932445255474452,0.83835802566623,rf,all,tes
14,0.871154011893476,0.856392647949909,0.839729845626072,0.822205551387847,0.838420703384207,0.824902723735409,0.906547085201794,0.890382192356153,0.84027095775271,0.82112875864867,lr,all,tes
15,0.876990127190252,0.859887241595323,0.851736706689537,0.832208052013003,0.8178500331785,0.801167315175097,0.945349952061361,0.92789544840018,0.865743198407432,0.84460045254906,svm,all,tes
Without ML,0,0,0,0.642660665166292,0,0,0,0,0,0,Without ML,Without ML,tes
